Date;Months;eth
2022-01-01;1;3876,785156
2022-02-01;2;3271,316162
2022-03-01;3;3470,186279
2022-04-01;4;3573,960205
2022-05-01;5;2956,686768
2022-06-01;6;1965,166626
2022-07-01;7;1774,576416
2022-08-01;8;2022,791504
2022-09-01;9;1784,497803
2022-10-01;10;1652,382202
2022-11-01;11;1661,334717
2022-12-01;12;1346,174438
