"days","eth"
"309","209.091003"
"310","218.451996"
"311","217.182999"
"312","212.231003"
"313","210.074005"
"314","212.533005"
"315","211.339996"
"316","210.417999"
"317","206.826004"
"318","181.397003"
"319","180.806"
"320","175.177002"
"321","174.001007"
"322","177.067001"
"323","149.175003"
"324","130.339005"
"325","136.701004"
"326","126.706001"
"327","123.295998"
"328","113.494003"
"329","116.449997"
"330","108.334999"
"331","110.010002"
"332","122.438004"
"333","117.542648"
"334","113.171417"
"335","118.635559"
"336","116.388901"
"337","108.925018"
"338","110.214188"
"339","102.475555"
"340","91.761055"
"341","93.294563"
"342","92.159637"
"343","95.142059"
"344","91.685654"
"345","88.945305"
"346","90.5933"
"347","86.539314"
"348","84.308296"
"349","84.440811"
"350","85.2621"
"351","95.133827"
"352","101.112457"
"353","101.268578"
"354","116.216873"
"355","109.496231"
"356","116.759499"
"357","130.765259"
"358","140.238007"
"359","129.844345"
"360","131.865631"
"361","116.575912"
"362","137.647018"
"363","138.018341"
"364","139.859451"
"365","133.368256"
"366","140.819412"
"367","155.047684"
"368","149.13501"
"369","154.58194"
"370","155.638596"
"371","157.746201"
"372","151.699219"
"373","150.359634"
"374","150.803116"
"375","128.625183"
"376","127.548325"
"377","125.96653"
"378","116.897804"
"379","129.068726"
"380","122.032715"
"381","123.547066"
"382","123.74192"
"383","121.010262"
"384","124.51902"
"385","119.474831"
"386","117.157852"
"387","118.747551"
"388","117.452606"
"389","117.362885"
"390","116.378342"
"391","116.488739"
"392","113.405289"
"393","106.589973"
"394","105.598213"
"395","108.907539"
"396","107.061012"
"397","107.609787"
"398","110.43026"
"399","107.492668"
"400","107.821602"
"401","107.44352"
"402","104.919289"
"403","104.535301"
"404","119.267746"
"405","119.430885"
"406","124.806488"
"407","121.298393"
"408","122.572289"
"409","122.553604"
"410","121.390205"
"411","122.100388"
"412","123.260216"
"413","133.598877"
"414","146.098373"
"415","145.346191"
"416","149.554337"
"417","146.130844"
"418","149.092453"
"419","158.795425"
"420","135.852661"
"421","139.822861"
"422","138.089676"
"423","136.125961"
"424","136.746246"
"425","136.443619"
"426","134.206955"
"427","132.24942"
"428","127.774124"
"429","137.822388"
"430","138.789352"
"431","138.0345"
"432","135.127075"
"433","137.965332"
"434","136.758682"
"435","133.83403"
"436","134.442886"
"437","133.263077"
"438","133.711594"
"439","137.691788"
"440","142.398178"
"441","140.000549"
"442","139.374603"
"443","140.519196"
"444","140.686356"
"445","136.636063"
"446","137.181442"
"447","138.239868"
"448","136.986923"
"449","135.031021"
"450","135.460358"
"451","140.988159"
"452","139.416473"
"453","142.497421"
"454","142.092682"
"455","141.514099"
"456","141.830322"
"457","163.961746"
"458","161.458801"
"459","158.052536"
"460","165.514847"
"461","165.947205"
"462","174.531647"
"463","180.25882"
"464","176.114578"
"465","177.337479"
"466","165.497025"
"467","164.736328"
"468","164.513351"
"469","167.838516"
"470","161.574173"
"471","167.623444"
"472","166.95076"
"473","173.814026"
"474","173.708435"
"475","173.751266"
"476","170.046524"
"477","171.874664"
"478","171.4478"
"479","165.826096"
"480","154.459396"
"481","156.347092"
"482","158.434937"
"483","157.295074"
"484","155.201996"
"485","162.166031"
"486","160.818344"
"487","162.122787"
"488","167.952408"
"489","164.026581"
"490","163.450699"
"491","172.653214"
"492","169.79866"
"493","170.948166"
"494","170.289307"
"495","173.142746"
"496","194.304337"
"497","187.325317"
"498","196.846283"
"499","217.148575"
"500","247.153061"
"501","264.01001"
"502","243.764587"
"503","234.59523"
"504","261.292206"
"505","251.86441"
"506","255.215881"
"507","244.698914"
"508","245.965668"
"509","249.484985"
"510","251.759872"
"511","267.069641"
"512","272.86264"
"513","271.768707"
"514","269.455688"
"515","255.858948"
"516","268.113556"
"517","265.391266"
"518","270.225525"
"519","252.607925"
"520","241.338791"
"521","247.05101"
"522","249.474335"
"523","250.930359"
"524","245.738098"
"525","233.0867"
"526","247.520126"
"527","245.78183"
"528","260.90329"
"529","256.168793"
"530","264.087463"
"531","269.019318"
"532","269.223206"
"533","274.351105"
"534","265.051849"
"535","269.431793"
"536","271.695007"
"537","294.910278"
"538","309.38031"
"539","307.827789"
"540","310.424683"
"541","318.126312"
"542","336.753174"
"543","294.267639"
"544","311.226105"
"545","320.058899"
"546","290.695984"
"547","293.641113"
"548","291.596436"
"549","303.099976"
"550","284.523224"
"551","287.997528"
"552","287.547119"
"553","305.700562"
"554","313.251404"
"555","308.881012"
