"Date","Months","eth"
"2021-01-01","1","1467.784912"
"2021-02-01","2","2036.286499"
"2021-03-01","3","1947.837769"
"2021-04-01","4","2797.972412"
"2021-05-01","5","4362.350586"
"2021-06-01","6","2891.254883"
"2021-07-01","7","2551.161133"
"2021-08-01","8","3466.992188"
"2021-09-01","9","4022.469238"
"2021-10-01","10","4455.735352"
"2021-11-01","11","4891.70459"
"2021-12-01","12","4780.732422"
