Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,133.418152,141.397507,132.650711,140.819412,140.819412,2258709868
2019-01-02,141.519516,156.929138,140.650955,155.047684,155.047684,3328240369
2019-01-03,155.196045,155.863052,147.198364,149.135010,149.135010,2676164880
2019-01-04,148.912888,156.878983,147.907104,154.581940,154.581940,3126192535
2019-01-05,154.337418,160.824890,154.337418,155.638596,155.638596,3338211928
2019-01-06,155.804230,159.371445,152.085922,157.746201,157.746201,3231294371
2019-01-07,157.809494,158.450424,151.150726,151.699219,151.699219,2712108388
2019-01-08,151.967545,153.625778,148.669540,150.359634,150.359634,2459808140
2019-01-09,150.554688,153.622253,150.288376,150.803116,150.803116,2369241197
2019-01-10,150.843506,152.148270,126.529373,128.625183,128.625183,3397734456
2019-01-11,127.813965,130.165939,125.244942,127.548325,127.548325,2667585234
2019-01-12,127.528084,128.666122,125.446754,125.966530,125.966530,2212109224
2019-01-13,125.907227,126.267876,116.085968,116.897804,116.897804,2268263944
2019-01-14,116.979095,130.856735,116.967560,129.068726,129.068726,2798085735
2019-01-15,129.172684,130.743561,120.311523,122.032715,122.032715,2735449164
2019-01-16,121.809242,127.118248,121.441414,123.547066,123.547066,2746469340
2019-01-17,123.573540,124.270721,120.817032,123.741920,123.741920,2594091285
2019-01-18,123.654655,123.841690,120.241898,121.010262,121.010262,2305389800
2019-01-19,121.614426,125.904228,121.161034,124.519020,124.519020,3048261797
2019-01-20,124.632401,125.070389,118.702324,119.474831,119.474831,2964108269
2019-01-21,119.636459,119.715439,116.157440,117.157852,117.157852,2421720343
2019-01-22,117.110756,119.664345,114.676682,118.747551,118.747551,2552507405
2019-01-23,118.713814,119.422798,116.376648,117.452606,117.452606,2556952198
2019-01-24,117.462784,118.032104,116.006798,117.362885,117.362885,2520843420
2019-01-25,117.594955,117.802994,115.830154,116.378342,116.378342,2606881898
2019-01-26,116.373528,118.084114,115.980576,116.488739,116.488739,2412181169
2019-01-27,116.510315,116.685410,113.405289,113.405289,113.405289,2775888287
2019-01-28,113.285233,113.688232,103.336464,106.589973,106.589973,3366895505
2019-01-29,106.721954,107.165787,103.999229,105.598213,105.598213,2900418606
2019-01-30,105.407204,109.452980,104.843796,108.907539,108.907539,2874370355
2019-01-31,108.900772,110.458359,106.525352,107.061012,107.061012,2828796031
2019-02-01,107.147682,108.638710,105.046501,107.609787,107.609787,2541271519
2019-02-02,107.466415,110.653877,106.764015,110.430260,110.430260,2385157838
2019-02-03,110.490318,110.827354,106.563988,107.492668,107.492668,2519334757
2019-02-04,107.625824,108.701035,107.067421,107.821602,107.821602,2491888675
2019-02-05,107.628166,108.134789,106.909897,107.443520,107.443520,2515863999
2019-02-06,107.569305,107.569305,102.934563,104.919289,104.919289,2593048199
2019-02-07,104.835777,106.058876,104.409134,104.535301,104.535301,2326764622
2019-02-08,104.645050,119.805817,104.194435,119.267746,119.267746,3656841347
2019-02-09,119.214111,120.689735,118.000404,119.430885,119.430885,2884650400
2019-02-10,119.408966,124.853622,117.105774,124.806488,124.806488,3148766590
2019-02-11,124.871536,124.871536,120.311752,121.298393,121.298393,3222473887
2019-02-12,121.178574,123.468300,119.600021,122.572289,122.572289,3149576429
2019-02-13,122.544289,125.550697,121.612495,122.553604,122.553604,3386585799
2019-02-14,122.416985,124.451988,121.334892,121.390205,121.390205,3331701628
2019-02-15,121.453697,123.660126,121.371918,122.100388,122.100388,3021741615
2019-02-16,122.396454,124.134811,122.295303,123.260216,123.260216,2905833287
2019-02-17,123.182083,134.460098,123.091614,133.598877,133.598877,4236081130
2019-02-18,133.032547,147.686584,133.001938,146.098373,146.098373,5387525773
2019-02-19,146.398819,149.929977,145.128464,145.346191,145.346191,5310842625
2019-02-20,145.172729,149.554337,142.502121,149.554337,149.554337,4500094965
2019-02-21,149.352325,149.352325,144.563812,146.130844,146.130844,3995766856
2019-02-22,146.073257,149.268616,145.206543,149.092453,149.092453,3731099284
2019-02-23,148.676620,159.125870,147.331055,158.795425,158.795425,4519468458
2019-02-24,158.902405,165.549622,135.852661,135.852661,135.852661,5957715043
2019-02-25,135.499725,142.525574,135.483841,139.822861,139.822861,4914392068
2019-02-26,139.646088,139.976440,136.579605,138.089676,138.089676,3791292839
2019-02-27,138.029572,141.336227,131.602921,136.125961,136.125961,4469776860
2019-02-28,136.283081,138.847137,135.657593,136.746246,136.746246,4535438953
2019-03-01,136.836243,138.995270,136.434784,136.443619,136.443619,3756124824
2019-03-02,136.350082,137.184799,132.436386,134.206955,134.206955,3747176425
2019-03-03,134.786118,135.849289,131.328857,132.249420,132.249420,3454374053
2019-03-04,132.157883,132.729141,125.402702,127.774124,127.774124,4008171341
2019-03-05,127.792953,138.229980,126.735298,137.822388,137.822388,4764849990
2019-03-06,137.958740,139.968826,136.145920,138.789352,138.789352,4589054219
2019-03-07,138.942383,140.857880,137.273132,138.034500,138.034500,4339206292
2019-03-08,138.311356,139.499100,133.557693,135.127075,135.127075,4678816794
2019-03-09,134.887558,139.119415,134.677124,137.965332,137.965332,5011918715
2019-03-10,138.180496,138.270309,135.685684,136.758682,136.758682,4578438499
2019-03-11,136.849533,137.353409,133.102798,133.834030,133.834030,4689807419
2019-03-12,134.012848,135.273468,130.944153,134.442886,134.442886,4709988000
2019-03-13,134.611771,134.611771,132.719727,133.263077,133.263077,4265162099
