Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,129.630661,186.260483,126.490021,180.160172,180.160172,327976431869
2020-02-01,180.113770,287.123688,179.745178,219.848511,219.848511,578092481246
2020-03-01,219.752686,249.978485,95.184303,133.593567,133.593567,498921414458
2020-04-01,133.612320,227.529694,129.730942,207.602051,207.602051,532158870567
2020-05-01,207.901733,244.045258,180.718338,230.975708,230.975708,505593287696
2020-06-01,230.860260,252.222000,219.472672,226.315002,226.315002,252220724156
2020-07-01,226.134583,348.611359,224.544495,345.554657,345.554657,251431946993
2020-08-01,345.798615,444.577759,343.587433,435.079742,435.079742,374122796720
2020-09-01,434.874451,487.211884,316.774353,359.937866,359.937866,518354378929
2020-10-01,360.309143,420.141663,334.545563,386.590332,386.590332,416749195873
2020-11-01,386.590332,621.173401,371.312744,614.842529,614.842529,487476388045
2020-12-01,615.070313,754.303223,532.998413,737.803406,737.803406,470673397126
