Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,133.418152,160.824890,103.336464,107.061012,107.061012,85054975141
2019-02-01,107.147682,165.549622,102.934563,136.746246,136.746246,101430995445
2019-03-01,136.836243,149.613235,125.402702,141.514099,141.514099,138882123600
2019-04-01,141.465485,184.377853,140.737564,162.166031,162.166031,204556824026
2019-05-01,162.186554,287.201630,159.660217,268.113556,268.113556,314349041886
2019-06-01,268.433350,361.398682,229.257431,290.695984,290.695984,270589672710
2019-07-01,290.268494,318.223114,193.990417,218.654144,218.654144,249663340219
2019-08-01,218.554596,239.115906,167.071411,172.469788,172.469788,203391541658
2019-09-01,172.458405,222.871689,157.130325,179.872208,179.872208,223404691299
2019-10-01,180.209122,195.942505,157.463425,183.966919,183.966919,251679512754
2019-11-01,183.803696,193.547256,133.802338,152.539688,152.539688,252844958892
2019-12-01,152.491928,153.155396,119.780060,129.610855,129.610855,247117483830
